french,english
je,I
est,is
pas,not
le,the
que,that
la,the
vous,you
tu,you
un,a
c',vs'
à,at
et,and
il,he
a,has
l',I'
ne,not
les,them
j',I
en,in
on,we
ça,that
une,a
d',d '
ce,this
qu',that
pour,for
ai,have
n',not'
des,of the
qui,who
mais,but
dans,in
nous,we
elle,she
me,me
bien,good
si,if
du,from
y,Y
suis,am
non,Nope
t',t '
avec,with
tout,everything
plus,more
mon,my 
m',M '
te,you
au,to
fait,do
moi,me
s',s'
oui,yes
va,go
était,was
as,AS
faire,TO DO
ils,they
sur,on
quoi,what
se,se
comme,as
sais,know
être,be
veux,want
ici,here
ma,my
toi,you
est-ce,is it
dit,said
lui,him
votre,your
es,es
pourquoi,why
où,where
là,the
rien,nothing
cette,this
sont,are
quand,when
peux,can
dire,say
son,his
avez,have
vais,go
alors,then
ton,your
comment,How? 'Or' What
par,by
ou,Where
chose,thing
bon,Well
ont,have
merci,thank you
juste,just
très,very
jamais,never
été,summer
aussi,too
